,Season,Rank,Player,Pos,Age,G,MP,PTS,AST,TRB,STL,BLK,FG%,eFG%,FT%,PF,WS,WS/48,First,Pts Won,Pts Max,Share,MVP,raptor_offense,raptor_defense,predator_offense,predator_defense
76,2001,1,Allen Iverson,SG,25,71,42.0,31.1,4.6,3.8,2.5,0.3,0.42,0.447,0.814,2.1,11.8,0.19,93,1121,1240,0.904,1,3.523013069,0.126153512,4.457395563,0.788317507
77,2001,2,Tim Duncan,PF,24,82,38.7,22.2,3.0,12.2,0.9,2.3,0.499,0.502,0.618,3.0,13.2,0.2,18,706,1240,0.569,0,1.593749016,4.64552279,1.960634446,4.269792192
78,2001,3,Shaquille O'Neal,C,28,74,39.5,28.7,3.7,12.7,0.6,2.8,0.572,0.572,0.513,3.5,14.9,0.245,7,578,1240,0.466,0,5.456682713,3.499411418,6.046024211,2.634236098
79,2001,4,Chris Webber,PF,27,70,40.5,27.1,4.2,11.1,1.3,1.7,0.481,0.481,0.703,3.2,11.0,0.186,5,521,1240,0.42,0,-2.993455287,1.228930409,-2.115116611,1.276063176
80,2001,5,Kevin Garnett,PF,24,81,39.5,22.0,5.0,11.4,1.4,1.8,0.477,0.484,0.764,2.5,11.8,0.176,1,151,1240,0.122,0,4.963739193,2.917100679,4.281585326,3.062450963
81,2001,6,Tracy McGrady,SG,21,77,40.1,26.8,4.6,7.5,1.5,1.5,0.457,0.474,0.733,2.1,12.2,0.189,0,64,1240,0.052,0,5.434331899,1.243212659,5.670590294,1.444532624
82,2001,7,Karl Malone,PF,37,81,35.7,23.2,4.5,8.3,1.1,0.8,0.498,0.499,0.793,2.7,13.1,0.217,0,21,1240,0.017,0,-2.625029704,-0.927618498,-1.592835872,-1.179798224
83,2001,8,Jason Kidd,PG,27,77,39.8,16.9,9.8,6.4,2.2,0.3,0.411,0.443,0.814,2.2,9.6,0.15,0,18,1240,0.015,0,2.226217441,0.969068083,2.12849783,1.681224126
84,2001,9,Kobe Bryant,SG,22,68,40.9,28.5,5.0,5.9,1.7,0.6,0.464,0.484,0.853,3.3,11.3,0.196,0,11,1240,0.009,0,6.802808718,1.523943119,6.987599526,1.671727265
85,2001,10,David Robinson,C,35,80,29.6,14.4,1.5,8.6,1.0,2.5,0.486,0.486,0.747,2.7,12.1,0.246,0,8,1240,0.006,0,-0.017270217,6.518787672,0.42490618,6.257310238
86,2001,11T,Ray Allen,SG,25,82,38.2,22.0,4.6,5.2,1.5,0.2,0.48,0.557,0.888,2.3,13.7,0.211,0,7,1240,0.006,0,8.666183696,0.092760658,8.611782154,0.282261922
87,2001,11T,Vince Carter,SF,24,75,39.7,27.6,3.9,5.5,1.5,1.1,0.46,0.509,0.765,2.7,12.9,0.208,0,7,1240,0.006,0,6.37855061,0.372541291,6.78691142,0.932193787
88,2001,13,Paul Pierce,SF,23,82,38.0,25.3,3.1,6.4,1.7,0.8,0.454,0.503,0.745,3.1,10.4,0.16,0,5,1240,0.004,0,2.58809187,0.049655955,2.710447902,0.186144105
89,2001,14,Jerry Stackhouse,SG,26,80,40.2,29.8,5.1,3.9,1.2,0.7,0.402,0.445,0.822,2.0,9.2,0.137,0,3,1240,0.002,0,3.260941161,-1.012391944,3.429053782,-1.057937528
